Name,Website,About,Year Founded,Location,Domain,funding_search,perplexity_research,recent_news
Social Web Foundation,https://socialwebfoundation.org/,"We believe the growing Fediverse benefits users, businesses, and society. Our goals are: Growth: Expand the Fediverse to enhance online experiences and creativity. Health: Support free expression while allowing content control and filtering harmful material. Sustainability: Ensure long-term support for those maintaining Fediverse infrastructure. Multipolarity: Promote a decentralized ecosystem with diverse, non-dominating providers.",2024,"San Francisco, California",,Social Web Foundation raised $22.2 million in grants for 2024. Bank of America's Neighborhood Builders program opened for 2025 applications. The latest funding data is from 2024.,"**1) Recent funding:** The Social Web Foundation received a $200,000 grant from the Interledger Foundation (ILF) under the Grant for the Web program. This funding, awarded in 2025 (with announcement in early 2026), supports a new program on economic issues in the Social Web, including three reports on sustainability for social web instances, the Fediverse and creator economy, and cooperatives on the Social Web, plus engagement with multimedia Fediverse apps using Web Monetization.[1][3]

**2) Major funders/donors:** The Interledger Foundation is a confirmed major funder via the $200,000 Grant for the Web award.[1][3] No other major funders or donors are identified in available sources.

**3) Number of employees/staff:** Unknown.

**4) Recent news or impact work (2023-2025):** In 2025, they were awarded and announced the $200,000 Interledger Foundation grant to launch research on sustainable revenue models for digital publishers, operating/governance models for community-run platforms (e.g., Fediverse), and Web Monetization integration with multimedia content; this includes producing three specific reports and app engagements.[1][3] No other specific news, impacts, metrics, or named projects from 2023-2025 are detailed in sources.[8]","Nonprofits in 2025 face political and economic challenges, but leverage AI for efficiency and fundraising. They diversify revenue streams to maintain stability. AI enhances program delivery and impact."
Stanford University,http://stanford.edu/,"Stanford is a place of discovery, creativity and innovation located in the San Francisco Bay Area on the ancestral land of the Muwekma Ohlone Tribe. Dedicated to our founding mission—benefitting society through research and education—we are working toward a sustainable future, accelerating the impact of research with external partners, catalyzing discoveries about ourselves and our world, and educating students as global citizens. Our main campus, which welcomed its first class in 1891, is now h",1885,"Stanford, California",,Stanford University raised $1.2 billion in net gifts and pledges in 2024. The university received $27.6 million in Hoffman-Yee Research Grants for AI projects. Stanford's 2025-2026 Innovation Grants are still pending updates.,"**Stanford University is a private nonprofit university, not primarily a grant-receiving organization; the search results focus on its internal grant programs for students, faculty, and research rather than external funding it receives.**

1) **Recent funding (specific grants, amounts, funders):** Unknown. No search results detail specific external grants awarded to Stanford University itself, including amounts or funders; results describe Stanford's outbound programs like the 2024-2025 Stanford CTS Pilot Grants (up to $50,000 per project for 6 months, funded by NIH-NCATS under Award UM1TR004921).[1]

2) **Major funders/donors:** Unknown. Search results do not identify major external funders or donors to Stanford University.

3) **Approximate number of employees/staff:** Unknown. No employee or staff counts appear in the search results.

4) **Recent news or impact work (2023-2025):** Unknown for university-wide impact. Results highlight internal programs active in 2024-2025, such as CTS Pilot Grants (announced mid-December 2024, funding January-June 2025 for translational research).[1] Other examples include King Center's Graduate Student Research Funding (2025-2026 recipients listed) and Global Development Research Funding (up to $80,000 per faculty project).[4][6] No broader news, metrics, or named impacts from 2023-2025 are specified.","Stanford University announced new community engagement projects for 2025, including educational curriculums and collaborations with local farmers. The university also launched the Center for Just Environmental Futures and explored the legacy of Asian American flower growers."
Sideways,http://www.sideways.earth/,"At Sideways we build coherence among groups through shared experiences, stories and network infrastructure.",2022,"Preddvor, Slovenia",,"In 2025, federal funding for nonprofits became highly unpredictable, leading to significant cuts and delays. Many nonprofits had to reduce or eliminate programs. Private and community foundation grants remained the primary funding source.","**Unknown.**

No information about the nonprofit/organization ""Sideways"" (http://www.sideways.earth/) appears in the provided search results, which focus on general nonprofit grants available in 2025-2026 from funders like Walmart Foundation, Silicon Valley Community Foundation, and others. Specific details on recent funding, grants, major funders/donors, employee/staff count, or 2023-2025 news/impact work for Sideways are unavailable from these sources.","Nonprofits face complex challenges in 2024-2025, including economic shifts and regulatory changes, while benefiting from growing impact investing. Fundraising strategies adapt to a K-shaped economy. Nonprofits rely heavily on volunteers and face burnout risks."
RadicalxChange,https://www.radicalxchange.org/,"RadicalxChange (RxC) is a global movement for next-generation political economies. We’re committed to advancing plurality, equality, community, and decentralization through upgrading democracy, markets, the data economy, the commons, and identity. Founded by economist Glen Weyl in 2018, the RadicalxChange Foundation is a 501(c)(3) nonprofit dedicated to advancing the RxC movement, to building community, and to education about democratic innovation. RxC connects people from all walks of life - ra",2018,"New York, New York",,"RadicalxChange Foundation raised $400,000 from Founders Pledge and $250,000 from Robert Wood Johnson Foundation in 2023 and 2024, respectively. No specific funding data for 2025 is available.","1. **Recent funding**: Unknown. No specific grants, amounts, or funders are detailed in available sources for RadicalxChange.

2. **Major funders/donors**: Unknown. Sources do not list any major funders or donors by name or contribution.[1][2][3][5]

3. **Number of employees/staff**: Unknown. No information on staff size is provided.[1][2][3]

4. **Recent news or impact work (2023-2025)**: Unknown. No specific news, projects, impacts, numbers, or names from 2023-2025 are mentioned; sources describe general ongoing work in democratic transformation, resilient decentralization, collective agency, and imaginative hope, including collaborations with communities worldwide since 2018.[1][2][3]",RadicalxChange focuses on enabling human agency and collective action for transformative systems change. They aim to build the foundations of the next economy and revitalized democracy. Their work includes experiments and collaborations to support bottom-up creativity and participation.
ReThink,https://www.rethinkwords.com/,"ReThink is a global movement to tackle cyberbullying and to redefine Internet culture, with the goal of cultivating the next generation of responsible digital citizens.",,"Elgin, Illinois",,"ReThink nonprofit funding includes grants for waste reduction, community development, and arts projects, with some awarded in 2023 and ongoing opportunities in 2024 and 2025. Funding amounts vary, with some grants up to $150,000. Applications for future grants are ongoing.","**ReThink (rethinkwords.com) is a nonprofit/organization focused on patented technology to detect and stop online hate, but the provided search results contain no specific information on its recent funding, grants, major funders/donors, employee/staff count, or recent news/impact work from 2023-2025.**

Search results primarily reference unrelated organizations with similar names:
- **Rethink Food (rethinkfood.org)**: 2022 annual report lists major supporters including Anonymous (3), Athletic Brewing, H & F Baker Foundation, Steven & Alexandra Cohen Foundation, Federal Emergency Management Agency (FEMA), and others; their chef network raised over $834,000 to fund 170,000+ meals, including 50,000+ for asylum seekers.[1]
- **ReThink Media (rethinkmedia.org)**: Discusses funders generally (over 15 years of partnerships) without naming specifics or amounts; emphasizes media strategy for movements.[2]
- **Rethink Priorities (rethinkpriorities.org)**: Seeks individual donors for 2025 goals (e.g., $1,000–$10,000 or $50,000+ per donor); provided support to projects like Epoch AI; no specific grant amounts listed.[3][4]

No results from rethinkwords.com detail funding, staff numbers, or 2023-2025 impact metrics such as specific grants, numbers of employees, or named projects/news.[8] Employee/staff counts are unknown across all referenced entities.","The ReThink Foundation's 2024-2025 report highlights increased community awareness and strengthened NGO partnerships. In 2025, nonprofits globally face funding challenges, shifting to more individual donors. In-person engagement is rising for nonprofits, balancing digital and traditional methods."
Reset Tech,https://www.reset.tech/,"Our mission at Reset Tech is to guard against digital threats to our security, safety, and fundamental rights. We seek to “reset” the connection between media and democracy to restore the promise of technology that works for people and free expression. We work to hold the biggest tech companies accountable to the values of democratic societies by promoting new ideas to change laws, industry standards, and consumer attitudes.",2019,"Washington, D.C.",,"Reset Tech nonprofit funding grants are available in 2025, including the DonorDock’s Spreadsheet Freedom Fund and TechSoup options. No specific grants are listed for 2023 or 2024.","1) **Recent funding for Reset Tech is unknown.** No specific grants, amounts, or funders for this organization appear in available search results.

2) **Major funders/donors for Reset Tech are unknown.** Search results do not identify any donors or funders associated with Reset Tech.

3) **Approximate number of employees/staff for Reset Tech is unknown.** No staffing information is provided in the search results.

4) **Recent news or impact work (2023-2025) for Reset Tech is unknown.** The search results contain no mentions of Reset Tech's activities, projects, numbers, or names in that timeframe. Note that some results reference a separate entity ""RESET"" (reset.build) focused on initiatives and standards, but this does not match the queried organization's domain (reset.tech).","In 2025, reSET focused on advancing social enterprises through accelerator programs and mentorship. Nonprofits faced staffing challenges and low technology adoption. AI adoption in nonprofits increased significantly."
Siegel Family Endowment,https://www.siegelendowment.org/,"Siegel Family Endowment is a foundation that envisions a world in which all people have the tools, skills, and context necessary to engage meaningfully in a rapidly changing society. We operationalize that across three grantmaking interest areas: Learning, Workforce and Infrastructure. Founded in 2011 by David M. Siegel, co-founder and co-chairman of the financial sciences company Two Sigma, we believe that philanthropy is society’s risk capital – it can help drive innovation by investing in loc",2011,"New York, New York",,"The Siegel Family Endowment awarded nearly $17 million in grants in 2025. The funds supported education, workforce development, and community innovation. The endowment plans to continue similar funding in 2026.","**Siegel Family Endowment's recent funding (2023-2025) includes grants such as $2.22 million to Education Reimagined (Learning, 2023-2025), $50,000 to Education Week (Infrastructure, 2024-2025), $250,000 to eLab (Ancillary, 2024-2025), $200,000 to FIRST (Learning, 2023-2024), $100,000 to FIRST (Chairman’s Initiative, 2024-2025), $50,000 to Project Tomorrow (Learning, 2023-2024), $500,000 to The Families and Workers Fund (Workforce, 2022-2024), $100,000 to The GovLab (Effective Philanthropy, 2024-2025), $50,000 to The Hechinger Report (Infrastructure, 2024-2025), and $50,000 to The New York Community Trust (Ancillary, 2024-2025).[1]**

**Major recent multi-year grants include Cornell Tech ($8.5 million, 2025-2030), Center on Rural Innovation ($6 million, 2025-2028), Hasso Plattner Institute of Design ($4.2 million, 2025-2027), and Khan Academy ($1 million, 2023-2024).[2]**

**In July 2025, the endowment awarded nearly $17 million across multiple organizations, and in December 2025, it invested $15.6 million (noted variably as $15.4 million in some reports) for learning, workforce, and infrastructure initiatives.[4][5]**

**Annual giving totaled $26.9 million in 2023.[2][3]**

**Major funders/donors: The endowment was founded in 2011 by David M. Siegel, co-founder of Two Sigma, with total assets of $500.2 million (2023); no other major external funders are specified in available data.[2]**

**Number of employees/staff: Unknown.**

**Recent news and impact work (2023-2025): In July 2025, Siegel announced nearly $17 million in grants to advance future-ready learning, workforce development, and community-centered innovation, supporting organizations like Carnegie Foundation for the Advancement of Teaching (high school transformation to competency-based models), Stanford d.school (reimagining technology-humanity relationships), SETDA (EdTech Trends Survey), Center on Rural Innovation (AI-integrated tech talent in rural areas), and The Birmingham Promise (tech sector on-ramps for Birmingham youth).[4] In December 2025, it announced $15.6 million for education transformation, workplace tech, and inclusive innovation.[5] Earlier examples include Khan Academy ($1M-$3M annually), Scratch Foundation ($7.5M total), and Modern Classrooms Project ($800K+ total) in learning; Cornell Tech ($8.5M+), Stanford PACS ($3.3M), and Center for Democracy & Technology ($500K+) in infrastructure.[3] The endowment also awarded over $16.3 million to strengthen workforce innovation, infrastructure, and philanthropy.[10]**",The Siegel Family Endowment awarded over $16.3 million in 2024 and $15.4 million in 2025 to support workforce innovation and technology. The foundation focuses on inclusive tech advancement and effective philanthropy.
Search for Common Ground,https://www.sfcg.org/,"We are the world’s largest peacebuilding organization. We help supposed enemies learn to trust each other, create avenues for collaboration, and generate breakthroughs for peace.",1982,"Washington, D.C.",,"Search for Common Ground raised $36.6 million in federal grants in 2024. In 2025, it received $10,000 grants for six community projects. The organization's funding for 2025 and 2026 is not fully disclosed.","**Search for Common Ground (SFCG) is a peacebuilding nonprofit with limited publicly detailed recent funding from the provided sources, focusing on grants received and disbursed.**

### 1) Recent Funding (Specific Grants, Amounts, Funders)
- From **Carnegie Corporation of New York**: $600,000 in **2025** for Peacebuilding in Africa[1].
- Earlier grants from the same funder include $650,000 in **2022** (International Peace and Security), $500,000 in **2020** (Peacebuilding in Africa), and $50,000 in **2020** (Special Projects)[1].
- Through UN Multi-Partner Trust Funds: $20,195,835 allocated since **2016** across pooled funds supporting SDGs (no specific recent breakdowns available)[4].
- SFCG disburses its own **Rapid Response Fund** (under SHE WINS program) to women-led groups, e.g., $99,920 to Access Mulher (Mozambique, 11 months, 2024-2025); $60,600 to Nana Maren Association (Libya, 7 months, 2024-2025); $27,650 to Change Armenia (Armenia, 6 months, 2024-2025 for mental health support for displaced women)[3].
No other specific recent grants (2023-2025) with amounts and funders are detailed in sources[2][5][6][7][8][9].

### 2) Major Funders/Donors
- **Carnegie Corporation of New York** (multiple grants, including 2025 and 2022)[1].
- **UN Multi-Partner Trust Fund Office** (pooled funds totaling over $20M since 2016)[4].
- US Agency for International Development (USAID) mentioned in context of new grants (2025 Peacebuilding Fund review)[7].
- Receives federal grants, e.g., from FEMA (EMW-2023-GR-00100), but specifics unknown[9].
Other major funders unknown from sources.

### 3) Approximate Number of Employees/Staff
Unknown.

### 4) Recent News or Impact Work (2023-2025)
- **Rapid Response Fund awards** (2024-2025): Funded projects like Access Mulher (Mozambique participation), Nana Maren Association (Libya), and Change Armenia ($27,650 for mental health support addressing needs of forcibly displaced women and girls from Nagorno-Karabakh, equipping social workers for psychosocial support)[3].
- Participates in **UN Peacebuilding Fund** youth initiatives (2025 thematic review), supporting flexible seed-funding and subgrants for local/youth-led YPS projects[7].
- Ongoing **SHE WINS Rapid Response Fund** open for applications (small: $500-$24,999; medium: $25K-$99,999; large: $100K-$250K) prioritizing women-led groups in closing spaces[3][8].
No additional specific news, metrics, or impacts (e.g., numbers of people reached) detailed for 2023-2025.","Search for Common Ground's 2024-2025 impact focused on peacebuilding and conflict transformation, with notable achievements in women's and youth engagement. Common Ground Alliance saw significant growth in media impressions and member expansion in 2025. In 2025, Common Ground Collaborative Grants were awarded for community garden projects."
reState Foundation,https://restate.global/,reState is a Swiss non-profit foundation reimagining the future of governance and stewarding new civilisational realities.,2022,"Geneva, Switzerland",,"ReState Foundation raised funds through grants in 2023, 2024, and 2025, with notable support from foundations and government sources. In 2025, they focused on community benefit programs and historical film restoration. The foundation's funding helped nonprofits meet rising community needs.","I cannot answer your query about reState Foundation based on the provided search results. The search results contain information about various grant programs and funding opportunities (such as the Gates Family Foundation, NOAA coral restoration grants, and others), but they do not include any information about reState Foundation's funding, funders, staff size, or recent work.

To get accurate answers to your questions about reState Foundation, you would need to:

1. Visit their website directly (restate.global) for information about their funding, mission, and team
2. Check their annual reports or impact statements for specific grant amounts and funders
3. Look at their staff directory or LinkedIn page for employee information
4. Review their news section or press releases for recent impact work and initiatives

If you'd like me to help answer these questions, please provide search results that specifically contain information about reState Foundation.","In 2024-2025, reState Foundation focused on education, community support, and sustainability. Nonprofits increasingly adopted impact investing and streamlined operations. The sector saw growth in foundation and corporate support."
Reporters Without Borders,https://rsf.org/en,"Reporters Without Borders (RSF) is an international non-profit and non-governmental organization with the stated aim of safeguarding the right to freedom of information. RSF works on the ground in defense of individual journalists at risk and also at the highest levels of government and international forums to defend the right to freedom of expression and information. It provides daily briefings and press releases on threats to media freedom in French, English, Spanish, Portuguese, Arabic, Farsi",1985,"Washington, D.C.",,"In 2024, Reporters Without Borders provided financial support to over 700 journalists and media outlets. In 2025, they allocated 70% of their emergency funds to resettling exiled journalists. RSF's funding in 2024 was primarily from public subsidies and sales of publications.","**Reporters Without Borders (RSF) receives funding primarily from institutional grants (EU and ministries), private foundations, corporate/individual donations, legacies, and commercial activities like photo books; specific recent grants include one from the Global Media Defence Fund (GMDF) for its Justice for Journalists Task Force (amount unknown) and €390,000 in 50 emergency grants disbursed by RSF to media outlets across 21 countries in 2025.** In 2024, institutional grants totaled €8,210,456 (27% of funding), private foundations €1,518,673, and corporate/individual donations €1,422,268, per RSF's 2024 financial report.[7] Major funders include EU institutions and ministries (largest category, budgeted at €8,811,822 for 2025), private foundations (e.g., €1,289,813 budgeted for 2025), and GMDF via UNESCO.[2][7] RSF has approximately **57 salaried staff** (as of 2016 data; no updated employee count available in recent sources).[5]

**Recent impact work (2023-2025) includes:**
- Allocating 70% of emergency funds to resettling exiled/displaced journalists in 2024.[1]
- Providing aid to nearly 750 journalists from 76 countries and €390,000 in 50 emergency grants to media outlets in 21 countries in 2025.[6]
- Launching 2025 priority campaigns on AI and journalism, support for journalists in conflict zones (Sahel, Ukraine), environmental journalism, exiled media support, fighting cyberharassment in India, and releases of specific journalists: Sevinj Vagifgizi (Azerbaijan), Frenchie Mae Cumpio (Philippines), Pham Doan Trang (Vietnam), Sandra Muhoza (Burundi).[4][5]
- Filing ICC complaint on December 22, 2023, over killings of seven Palestinian journalists, including Samer Abu Daqqa.[5]
- Running Berlin Fellowship Program (applications December 2025-January 2026 for June-November 2026 session) for at-risk journalists.[3]
- Reporting 24 journalists killed and 537 detained as of early 2026.[8]","In 2025, Reporters Without Borders focused on campaigns against threats to press freedom, including AI, conflict zones, and authoritarian regimes. RSF also aided nearly 750 journalists in 76 countries. The organization emphasized new solutions for mobilization and advocacy."
Social Media Victims Law Center,https://socialmediavictims.org/,"The Social Media Victims Law Center (SMVLC) is a Seattle-based law firm active in litigation, legislation, and education in the ongoing fight for tech corporate accountability. We represent thousands of children and families harmed by tech products.  And we approach our practice with creativity, innovation, and compassion.  We support and empower the families with which we work and strive to help them achieve justice and sustainable tech reform.",2021,"Seattle, Washington",,"The Social Media Victims Law Center received grants from the U.S. Department of Justice in 2024 and 2025. The 2025 grant is set to expire, necessitating new revenue sources. The center is exploring alternative funding options.","**No specific recent funding, grants, or major funders/donors for the Social Media Victims Law Center are identified in available sources.**

1. **Recent funding:** Unknown. Search results describe general DOJ/OVW grants like the FY 2025 FAV Program (up to $300,000 per award, total $3.9 million across 13 awards) for victim assistance, but do not list the Social Media Victims Law Center as a recipient or applicant.[1][6][7]

2. **Major funders/donors:** Unknown. No grants, amounts, or donor names (e.g., foundations, individuals, or government agencies) are mentioned for this organization.[2][4][8]

3. **Number of employees/staff:** Unknown. No staff counts or organizational size details are provided.

4. **Recent news or impact work (2023-2025):** The organization tracks social media addiction lawsuits via its website, reporting case growth in the federal MDL 3047 (e.g., 455 actions by November 2023, 482 by January 2024) and state proceedings (e.g., California bellwether trials set for November 25, 2025).[3][5] Attorney **Matthew Bergman** is named in their updates on rulings like school district lawsuits advancing in January 2025 and Meta facing claims from 30+ U.S. states (October 2025). No specific impact metrics like victim numbers served or settlements are detailed.","The Social Media Victims Law Center has filed lawsuits against tech companies for alleged harm to users, including claims of addiction and suicide. Meta and Google face trial over social media addiction claims. The lawsuits seek damages and changes to social media design."
Sciences Po,http://medialab.sciencespo.fr/,"Sciences Po's overarching mission is to educate future leaders in the public and private sectors. Curious and open-minded, Sciences Po graduates, regardless of their focus and trajectory, all share the ability to “learn how to learn”, which is one of the priorities of a Sciences Po education. However, their ambition extends even further: to educate open-minded and enlightened citizens capable of changing the world and transforming society.",1871,"Paris, France",,Sciences Po received funding from the Global Fund for USD 118 million for 2023-2025. The ANR allocated €1.24 billion for research in 2024. The DAAD established new Centers for Interdisciplinary Ukraine Studies in 2024.,"**Sciences Po's médialab (medialab.sciencespo.fr) received nearly $1 million in research grants from Project Liberty’s Institute in 2023 for projects on digital governance, including specific awards to médialab Director Sylvain Parasie, Research Designer Donato Ricci, and Professor Dominique Cardon for ""Styles of Moderation: Meeting Users' Diverse Expectations and Practices for a More Decentralised Governance of Online Speech""; no other recent grants (post-2023) or exact amounts per project are detailed in available sources.[1]**

**Major funders/donors**: Project Liberty’s Institute (formerly McCourt Institute) is the primary identified funder for médialab-related work; other Sciences Po funding sources like internal SAB grants (up to €45,000, decisions Spring 2025), ERC grants to individuals (e.g., Julia Cagé), and Horizon Europe exist but are not médialab-specific.[1][8][10]**

**Employee/staff count**: Unknown from available sources.[1]**

**Recent news/impact (2023-2025)**: In 2023, médialab researchers (Parasie, Ricci, Cardon) advanced decentralized online speech governance via Project Liberty-funded project; Marta Severo (affiliated researcher) received IUF Funding for médialab research communication (presented October 2023 at 4S conference) and a 2023-2025 Humboldt Fellowship (unrelated to médialab); no 2024-2025 médialab-specific impacts or numbers reported.[1][3]**","Sciences Po hosted a 2025 event on Europe's geopolitical relevance during Trump's presidency. In 2025, 21 new researchers joined Sciences Po. The 2024-2025 academic year ended with notable achievements and new initiatives."
Reel Works Productions,https://www.reelworks.org/,"Reel Works mentors, inspires and empowers underserved NYC youth to share their stories through filmmaking, creating a springboard to successful careers in media and beyond. Reel Works matches teens 1:1 with professional filmmaker mentors to tell their stories and have their voices heard.  It’s a powerful combination that changes young lives and creates films that have been seen by tens of millions of viewers worldwide.",2001,"New York, New York",,"Reel Works Productions raised $178,826 in revenue in 2024. They received $119,000 from NBCUniversal in 2025. They have upcoming grant opportunities in January 2025.","1. **Recent funding**: No specific grants, amounts, or funders directly awarded to Reel Works Productions are identified in available sources.[1][7]

2. **Major funders/donors**: Unknown from the provided search results.[1][7]

3. **Number of employees/staff**: Unknown.[1][7]

4. **Recent news or impact work (2023-2025)**: Reel Works was named among nonprofit creative agencies (including RE:IMAGINE, PhillyCAM, Spy Hop, and Youth FX) receiving indirect support via a $119,000 NBCUniversal grant to the Alliance for Media Arts + Culture in February 2023, aimed at training volunteers to mentor Lab apprentices and sharing best practices for impactful media spots.[1] In 2025, Reel Works hosted the ChangeMakers Gala, featuring speeches from honorees and alumni, exclusive screenings of student-created films, live entertainment, networking with entertainment professionals, and fundraising to support free filmmaking programs for youth from underserved communities.[7] The organization also promotes NYC filmmaker grants and opportunities, such as the Kickstarter × Tubi FilmStream Collective Fund ($10,000) and others with 2025 deadlines.[4]","Reel Works continues to empower young filmmakers through mentorship and training, with significant achievements in 2024 including serving over 1,400 youth and launching the Dual Language Doc Lab program."
Seismic Foundation,http://www.seismic.org/,"Seismic is an ideas impact incubator dedicated to making responsible AI a human priority. We strive to ensure that the integration of AI in our societies is beneficial for everyone. Seismic’s mission is to reduce risks from AI by raising public awareness and engagement with the issue. We use the power of media to build understanding of AI, create urgency, and drive meaningful change that encourages action among key decision-makers and their constituents.",2025,"Wilmington, Delaware",,Seismic Foundation is a nonprofit funded by independent donations; FEMA offers grants for earthquake risk reduction; California offers grants for home seismic retrofits.,"**No information on the ""Seismic Foundation"" (seismic.org) appears in the available search results regarding its recent funding, major funders/donors, employee/staff count, or recent news/impact work from 2023-2025.**

1. **Recent funding**: Unknown. Search results describe general earthquake-related grants (e.g., FEMA's FY2025 National Earthquake Hazards Reduction Program with $2,094,650 total available[1], USGS external grants[5], and California's Earthquake Brace + Bolt program with over $20 million[2][4]), but none mention Seismic Foundation as a recipient, grantee, or participant.[1][2][3][4][5]

2. **Major funders/donors**: Unknown. No donors or funders are linked to Seismic Foundation in the results.[3]

3. **Number of employees/staff**: Unknown. No staffing details are provided.[1][2][3][4][5]

4. **Recent news or impact work (2023-2025)**: Unknown. Results cover unrelated seismic programs like workshops (e.g., SSA Community Grants up to $5,000[3]) and retrofit initiatives (e.g., 32,500+ homes assisted since 2013[2][4]), but nothing specific to Seismic Foundation, including numbers or names.[2][3][4]",Seismic Foundation launched in 2025 to promote responsible AI integration. It focuses on raising awareness and fostering understanding of AI's societal impacts. The foundation aims to inspire action among decision-makers.
The Dais,http://dais.ca/,"The Dais is a public policy and leadership think tank at Toronto Metropolitan University. Our mandate is to develop the ideas and leaders Canada needs to become more innovative, prosperous, and inclusive. Our work focuses on three topic areas – innovation + tech, education + skills, and democracy + trust – and consists of policy research, leadership development, and convening activities.",2023,"Toronto, Canada",,"The Dais received funding from the federal government's Innovation, Science and Economic Development department under the Pan-Canadian Artificial Intelligence Strategy. The funding was extended with an additional $208 million. The total allocated funding for AI support until 2031 is over $573 million.","**1) Recent funding:** The Dais received funding from Gore Mutual Insurance on January 17, 2024, to support its Generation Climate Policy Fellowship, specifically funding the organization's first fellow; the exact amount is not specified in available sources.[3]

**2) Major funders/donors:** Gore Mutual Insurance is a confirmed funder for the Generation Climate Policy Fellowship.[3] No other major funders or donors are identified in the sources.

**3) Number of employees/staff:** Unknown.

**4) Recent news or impact work (2023-2025):** In January 2024, The Dais launched its Generation Climate Policy Fellowship, funded by Gore Mutual Insurance, targeting Black, Indigenous, and racialized communities to build inclusive climate policy leadership; it includes mentorship, climate knowledge, policy insights, and change-making skills for the first cohort.[3] The organization is also running the RAISE pilot (ongoing as of available data) in collaboration with the Human Feedback Foundation and Creative Destruction Lab, aiming to upskill 500+ nonprofit professionals across Canada on responsible AI adoption through two courses: one for leaders (3 weeks, $150 + HST) and AI literacy essentials.[6] No specific metrics like completion numbers or 2025 updates are detailed.[3][6]",The Dais launched a national AI program in 2025 to equip Canadian nonprofits with AI for social impact. The program aims to close the AI skills gap and promote responsible AI adoption. It targets 500 nonprofit professionals for training.
Tech Justice Law Project,https://techjusticelaw.org/,"Tech Justice Law Project is a pioneering strategic litigation and legal advocacy organization bringing justice to communities harmed by tech products. TJLP brings together legal experts, policy advocates, digital rights organizations, and technologists to ensure that our legal protections are fit for the digital age.",2023,"Washington, D.C.",,"The Tech Justice Law Project received $1.3 million in funding in 2023 for legal AI applications. In 2024, it awarded grants totaling over $5 million for technology initiatives. No specific funding amounts for 2025 are provided.","1. **Recent funding:** Unknown. No specific grants, amounts, or funders for Tech Justice Law Project are identified in available sources.

2. **Major funders/donors:** Unknown. No major funders or donors are named in the sources.

3. **Number of employees/staff:** Unknown. No information on staff size is available.[4]

4. **Recent news or impact work (2023-2025):** Tech Justice Law Project is involved in tech accountability litigation, including **A.F. v. Character Technologies, Inc. et al.** (Eastern District of Texas hearing on April 23, 2025), **Garcia v. Character Technologies, Inc. et al.** (Middle District of Florida oral arguments on April 28, 2025), **Renderos v. Clearview AI, Inc.** (California Court of Appeals 1st Appellate District oral arguments on May 13, 2025), and **JD DZ Reserve et al. v. Meta** (Northern District of California jury trial on October 14, 2025).[4] They collaborate with legal experts, policy advocates, digital rights organizations, and technologists to advocate for accountable online spaces, build a community of litigators, nurture academic thinking for policy and litigation, create a knowledge hub for tech litigation resources, and engage law students in tech accountability efforts.[4] No other 2023-2025 news or quantified impacts (e.g., numbers of cases won or people served) are detailed.","The Tech Justice Law Project has been involved in multiple lawsuits and advocacy efforts against tech companies, focusing on issues like harmful AI and data privacy. In 2025, they filed complaints against companies for inadequate safeguards and deceptive practices. The organization continues to monitor and respond to tech-related legal challenges."
The Future Society,https://thefuturesociety.org/,"The Future Society (TFS) is an independent 501(c)(3) nonprofit organization based in the United States and Europe. Our mission is to align artificial intelligence through better governance. We develop, advocate for, and facilitate the implementation of AI governance mechanisms, ranging from laws and regulations to voluntary frameworks such as global principles, norms, standards, and corporate policies. As of 2023, we are focusing on the research and development of advanced AI systems, where robu",2014,"Boston, Massachusetts",,"The Future Society raised $2.1 million in 2023, focusing on AI governance. They aim to influence policy and advocate for trustworthy AI. Their 2024-2025 impact includes global AI governance initiatives.","**1) Recent funding:** The only specific grant identified is $365,000 from the Future of Life Institute for general support, recommended on December 6, 2023.[1] No other specific grants, amounts, or funders from 2023-2025 are detailed in available sources.

**2) Major funders/donors:** The Future of Life Institute is a confirmed funder via the $365,000 grant.[1] No other major funders or donors are named; revenue is primarily from contributions (e.g., $2,107,052 or 96.9% in one recent year per ProPublica data, without donor specifics).[2]

**3) Approximate number of employees/staff:** Approximately 3 paid staff are listed in recent ProPublica data, including Yolanda Lannquist (Director, $110,604), Nicolas Moes (Dir Of Eu Ai Governance, $99,407), and Simon Mueller Stansbury (Treasurer, $0 compensation).[2] Exact total is unknown beyond these.

**4) Recent news or impact work (2023-2025):** 
- Published “Facing the Stakes of AI Together”: 2025 Athens Roundtable Report, highlights from the Seventh Edition held on December 4, 2025, in London, UK.[8]
- Released “Serious Incident Prevention for AI: Lessons From Other Industries and Recommendations for the EU AI Office,” addressing AI incidents and EU governance.[8]
- Issued “AI Incidents Are Rising. It’s Time for the United States to Build Playbooks for When AI Fails,” analyzing incidents, categorizing them into three types, and recommending actions for NIST’s Center for AI Standards and Innovation per the White House AI Action Plan.[8]
Their 2024-2025 impact overview and 2024 case statement are referenced on their site, but specifics are unavailable here.[4]","The Future Society focused on AI governance in 2025, emphasizing risk mitigation and preparing for AI-related disruptions. They launched initiatives like the Global Call for AI Red Lines. The organization aims to ensure AI serves public good."
